,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_features__cell_per_block,param_features__color_space,param_features__hist_bins,param_features__hog_channel,param_features__orient,param_features__pix_per_cell,param_features__spatial_size,param_svc__C,params,rank_test_score,split0_test_score,split0_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
7,63.89385509490967,10.503383874893188,0.9950738916256158,1.0,2,YUV,32,ALL,11,8,32,0.01,"{'features__orient': 11, 'features__color_space': 'YUV', 'features__hog_channel': 'ALL', 'features__hist_bins': 32, 'features__pix_per_cell': 8, 'features__cell_per_block': 2, 'svc__C': 0.01, 'features__spatial_size': 32}",1,0.9950738916256158,1.0,0.0,0.0,0.0,0.0
14,38.379855155944824,7.8574378490448,0.994018296973962,1.0,4,YUV,4,ALL,9,8,8,1,"{'features__orient': 9, 'features__color_space': 'YUV', 'features__hog_channel': 'ALL', 'features__hist_bins': 4, 'features__pix_per_cell': 8, 'features__cell_per_block': 4, 'svc__C': 1, 'features__spatial_size': 8}",2,0.994018296973962,1.0,0.0,0.0,0.0,0.0
19,41.26091909408569,9.516840934753418,0.9933145672061928,0.9976244941052261,1,YUV,64,ALL,9,8,16,0.0001,"{'features__orient': 9, 'features__color_space': 'YUV', 'features__hog_channel': 'ALL', 'features__hist_bins': 64, 'features__pix_per_cell': 8, 'features__cell_per_block': 1, 'svc__C': 0.0001, 'features__spatial_size': 16}",3,0.9933145672061928,0.9976244941052261,0.0,0.0,0.0,0.0
10,43.98406004905701,10.000339984893799,0.9933145672061928,1.0,2,YUV,4,ALL,11,8,32,10,"{'features__orient': 11, 'features__color_space': 'YUV', 'features__hog_channel': 'ALL', 'features__hist_bins': 4, 'features__pix_per_cell': 8, 'features__cell_per_block': 2, 'svc__C': 10, 'features__spatial_size': 32}",3,0.9933145672061928,1.0,0.0,0.0,0.0,0.0
16,50.458921909332275,8.611641883850098,0.9929627023223082,1.0,2,YCrCb,8,ALL,9,8,16,1,"{'features__orient': 9, 'features__color_space': 'YCrCb', 'features__hog_channel': 'ALL', 'features__hist_bins': 8, 'features__pix_per_cell': 8, 'features__cell_per_block': 2, 'svc__C': 1, 'features__spatial_size': 16}",5,0.9929627023223082,1.0,0.0,0.0,0.0,0.0
9,38.25805997848511,8.663225173950195,0.9929627023223082,1.0,1,YUV,16,ALL,7,8,16,0.01,"{'features__orient': 7, 'features__color_space': 'YUV', 'features__hog_channel': 'ALL', 'features__hist_bins': 16, 'features__pix_per_cell': 8, 'features__cell_per_block': 1, 'svc__C': 0.01, 'features__spatial_size': 16}",5,0.9929627023223082,1.0,0.0,0.0,0.0,0.0
6,73.19556784629822,8.53599500656128,0.9926108374384236,1.0,4,YCrCb,16,ALL,11,8,16,0.01,"{'features__orient': 11, 'features__color_space': 'YCrCb', 'features__hog_channel': 'ALL', 'features__hist_bins': 16, 'features__pix_per_cell': 8, 'features__cell_per_block': 4, 'svc__C': 0.01, 'features__spatial_size': 16}",7,0.9926108374384236,1.0,0.0,0.0,0.0,0.0
15,40.92650818824768,8.420509815216064,0.9926108374384236,1.0,1,YUV,8,ALL,7,8,32,0.01,"{'features__orient': 7, 'features__color_space': 'YUV', 'features__hog_channel': 'ALL', 'features__hist_bins': 8, 'features__pix_per_cell': 8, 'features__cell_per_block': 1, 'svc__C': 0.01, 'features__spatial_size': 32}",7,0.9926108374384236,1.0,0.0,0.0,0.0,0.0
4,42.39397215843201,8.253298997879028,0.9922589725545391,1.0,4,YUV,64,ALL,9,8,16,0.001,"{'features__orient': 9, 'features__color_space': 'YUV', 'features__hog_channel': 'ALL', 'features__hist_bins': 64, 'features__pix_per_cell': 8, 'features__cell_per_block': 4, 'svc__C': 0.001, 'features__spatial_size': 16}",9,0.9922589725545391,1.0,0.0,0.0,0.0,0.0
2,40.20986795425415,9.12903094291687,0.9919071076706545,1.0,1,YCrCb,2,ALL,11,8,8,0.01,"{'features__orient': 11, 'features__color_space': 'YCrCb', 'features__hog_channel': 'ALL', 'features__hist_bins': 2, 'features__pix_per_cell': 8, 'features__cell_per_block': 1, 'svc__C': 0.01, 'features__spatial_size': 8}",10,0.9919071076706545,1.0,0.0,0.0,0.0,0.0
